CUIT: 30-65703377-0 - Fecha de emisión: 27/03/2026
Fecha Operación,Formulario,Version,Impuesto,Periodo,Importe,Observaciones
"=""20/03/2026""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250500""","=""$ 2.800.000,00""","=""02 - Comprobante general"""
"=""20/03/2026""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250500""","=""$ 743.168,88""","=""02 - Comprobante general"""
"=""18/03/2026""","=""800""","=""0""","=""30 - IVA""","=""20251200""","=""$ 6.001.279,73""","=""02 - Comprobante general"""
"=""06/03/2026""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20260200""","=""$ 647.643,53""","=""02 - Comprobante general"""
"=""06/03/2026""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20260200""","=""$ 5.354,88""","=""02 - Comprobante general"""
"=""06/03/2026""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20260200""","=""$ 2.085.409,75""","=""02 - Comprobante general"""
"=""06/03/2026""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20260200""","=""$ 580.209,67""","=""02 - Comprobante general"""
"=""06/03/2026""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20260200""","=""$ 661.417,31""","=""02 - Comprobante general"""
"=""06/03/2026""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20260200""","=""$ 1.529.476,83""","=""02 - Comprobante general"""
"=""19/02/2026""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20260200""","=""$ 40.223,48""","=""02 - Comprobante general"""
"=""12/02/2026""","=""800""","=""0""","=""10 - GANANCIAS SOCIEDADES""","=""20250000""","=""$ 4.817.650,35""","=""02 - Comprobante general"""
"=""10/02/2026""","=""800""","=""0""","=""30 - IVA""","=""20251200""","=""$ 10.000.000,00""","=""02 - Comprobante general"""
"=""06/02/2026""","=""800""","=""0""","=""30 - IVA""","=""20251100""","=""$ 9.342.690,53""","=""02 - Comprobante general"""
"=""05/02/2026""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20260100""","=""$ 602.932,15""","=""02 - Comprobante general"""
"=""05/02/2026""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20260100""","=""$ 757.616,88""","=""02 - Comprobante general"""
"=""05/02/2026""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20260100""","=""$ 680.026,65""","=""02 - Comprobante general"""
"=""05/02/2026""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20260100""","=""$ 2.431.990,65""","=""02 - Comprobante general"""
"=""05/02/2026""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20260100""","=""$ 1.417.996,96""","=""02 - Comprobante general"""
"=""05/02/2026""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20260100""","=""$ 5.354,88""","=""02 - Comprobante general"""
"=""20/01/2026""","=""800""","=""0""","=""10 - GANANCIAS SOCIEDADES""","=""20250000""","=""$ 24.384,09""","=""02 - Comprobante general"""
"=""20/01/2026""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20260100""","=""$ 40.223,48""","=""02 - Comprobante general"""
"=""20/01/2026""","=""800""","=""0""","=""10 - GANANCIAS SOCIEDADES""","=""20250000""","=""$ 3.800.104,85""","=""02 - Comprobante general"""
"=""08/01/2026""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20251200""","=""$ 3.587.840,20""","=""02 - Comprobante general"""
"=""08/01/2026""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20251200""","=""$ 974.285,31""","=""02 - Comprobante general"""
"=""08/01/2026""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20251200""","=""$ 1.521.446,41""","=""02 - Comprobante general"""
